ID,Forward,Side,Capture Time,Result Time,Active
2,9.668530718486762,1.9884345615087404,1696810862.3866506,1696810864.1783726,False
3,4.781124068453797,1.7186552241541004,1696810862.3866506,1696810864.1795099,True
2,9.742370727107806,-1.9618530664153981,1696810862.56344,1696810866.5185752,False
3,4.760964570236918,-1.7269900040011572,1696810862.56344,1696810866.524743,True
2,9.874971545294176,-1.850756373558831,1696810864.7350662,1696810868.1550946,False
3,4.773703251841137,1.7213283036073,1696810864.7350662,1696810868.155376,True
2,9.732797449707311,2.0006605820255916,1696810866.4888954,1696810869.7835844,False
3,4.832513839802613,1.7001167526333794,1696810866.4888954,1696810869.7839117,True
2,9.783718030809288,1.9917446215901016,1696810868.2283993,1696810871.3487873,False
3,4.791869005686589,1.7156755548868385,1696810868.2283993,1696810871.3490493,True
2,9.731962405372158,-2.008262358492406,1696810869.6672435,1696810872.9518576,False
3,4.811030931249648,1.7083435054055685,1696810869.6672435,1696810872.952326,True
2,9.804451362781318,1.9685012170791443,1696810871.2625124,1696810874.6988237,False
3,4.822286069896915,1.7006887768232126,1696810871.2625124,1696810874.699102,True
2,9.782100494131855,1.9682412351840504,1696810872.9147124,1696810876.448585,False
3,4.79400388460403,-1.7097082627901492,1696810872.9147124,1696810876.4545534,True
2,10.403084482029552,0.9884102500078744,1696810874.6790597,1696810878.0433123,False
3,4.78126356601821,1.7198828208889014,1696810874.6790597,1696810878.0436423,True
3,4.84305608969523,1.6920723988318864,1696810876.3783376,1696810879.6094096,True
2,9.69765568868055,-1.9619674556098083,1696810877.9114864,1696810881.1627069,False
3,4.777735458893539,1.7078020275539174,1696810877.9114864,1696810881.1629617,True
3,4.787346133452292,1.7173219814710998,1696810879.5286279,1696810882.7228687,True
2,9.697582264424721,-1.913979544390825,1696810881.0249388,1696810884.2897785,False
3,4.760878000617955,1.7219066863727674,1696810881.0249388,1696810884.2903774,True
3,4.784460275305057,1.7160383379179693,1696810882.5836406,1696810885.8770852,True
2,9.813984531922486,1.8950615255322687,1696810884.2234612,1696810887.4596636,False
3,4.82941903182316,-1.6985577388561475,1696810884.2234612,1696810887.4602044,True
2,9.884173598369063,1.8110330696632828,1696810885.8915184,1696810889.050547,False
3,4.803507480137215,1.711795030248491,1696810885.8915184,1696810889.0508268,True
2,9.751075896113052,-1.9916764088464878,1696810887.3677917,1696810890.6789029,False
3,4.825406842581866,1.6918651765648074,1696810887.3677917,1696810890.6794782,True
3,4.818506837568478,1.7029079155007698,1696810888.9542716,1696810892.2417917,True
2,9.869752055309094,-1.8399942225491754,1696810890.5866091,1696810893.8410225,False
3,4.810374261113825,-1.7020493639553143,1696810890.5866091,1696810893.8416722,True
2,9.754165812103253,1.986466833457036,1696810892.174457,1696810895.4084134,False
3,4.818776068865722,1.7006352885043519,1696810892.174457,1696810895.4089413,True
2,9.720627272342618,2.0048576837746954,1696810893.8074584,1696810896.9496891,False
3,5.593166864087907,0.9871308833244331,1696810893.8074584,1696810896.949947,True
2,10.510918014114736,0.14653325208211654,1696810895.3476567,1696810898.5098064,False
3,4.833647498284368,1.6889558167996679,1696810895.3476567,1696810898.5179853,True
2,9.748037414028397,1.9522091335576144,1696810896.7967892,1696810900.0662904,False
3,4.8230974952791295,1.6941230767043716,1696810896.7967892,1696810900.0668724,True
3,4.832821263644843,-1.6958722078477677,1696810898.4673023,1696810901.6411815,True
2,9.76287820916682,1.9852533347171781,1696810900.024082,1696810903.2467625,False
3,4.814807914697503,1.7039760803583077,1696810900.024082,1696810903.24706,True
2,9.643513145338819,-1.9864645574462714,1696810901.6304238,1696810904.8726025,False
3,4.806955252540065,1.7038715865772374,1696810901.6304238,1696810904.872856,True
2,9.711483281968894,1.9933127839358193,1696810903.231484,1696810906.4918349,False
3,4.837194684028294,1.6845092707103906,1696810903.231484,1696810906.4920819,True
2,9.830463467353905,-1.8205872700842156,1696810904.7340987,1696810908.1165054,False
3,4.822945692097966,1.6996227923427407,1696810904.7340987,1696810908.116764,True
2,10.500719963301192,-0.06434100054351513,1696810906.4053605,1696810909.663,False
3,4.846014363966556,1.6897669312458012,1696810906.4053605,1696810909.663247,True
3,4.840643554291098,1.6921300801474626,1696810907.9992516,1696810911.341821,True
3,4.839184762427896,-1.6961633853280438,1696810909.6805737,1696810912.9451628,True
3,4.854634963200207,1.6811324448249392,1696810910.8011563,1696810914.5017493,True
3,4.872634170706511,1.6738380941310926,1696810912.847732,1696810916.072012,True
2,9.70635525470223,2.045679991611504,1696810914.4911442,1696810917.6752386,False
3,4.783549699535894,-1.714855842213281,1696810914.4911442,1696810917.675511,True
2,9.28082036972647,2.471042458821086,1696810915.9545448,1696810919.236591,False
3,4.7820164235073195,1.671783619189052,1696810915.9545448,1696810919.2368684,True
2,9.264547004274185,2.1349547564133746,1696810917.668347,1696810920.7446368,False
3,4.3995686593499554,1.6971396319852428,1696810917.668347,1696810920.744918,True
2,9.232605309411564,-1.9255463176280627,1696810919.2200847,1696810922.2337492,False
3,4.15330818924454,1.652976330946943,1696810919.2200847,1696810922.2429364,True
2,9.048096202344981,-1.7237918742947655,1696810920.680995,1696810923.714329,False
3,4.003604983076931,-1.6146522221544095,1696810920.680995,1696810923.714626,True
2,8.54617532246477,-2.0069223492986423,1696810922.245566,1696810925.1698098,False
3,3.743081248491525,1.617634105390434,1696810922.245566,1696810925.1706862,True
2,8.827167322916198,-1.4541626424542398,1696810923.6467328,1696810926.6584663,False
3,3.5260248921318333,-1.605049555050557,1696810923.6467328,1696810926.6587725,True
