ID,Forward,Side,Capture Time,Result Time,Active
0,7.250236207764179,-1.52792943129251,1696807251.3193667,1696807252.2986479,True
0,7.291687614902275,-1.4404899546625378,1696807251.487825,1696807253.1164398,True
0,7.04418217914313,-1.7886179881501443,1696807252.2985296,1696807253.968366,True
0,7.205164215155587,1.4884156554588783,1696807253.0178287,1696807254.8372264,True
0,6.959109007425966,-1.7073935728612604,1696807253.8318655,1696807255.6844323,True
0,6.4202503990385145,-1.848979799965313,1696807255.656992,1696807257.302074,True
0,6.439364671240934,-1.7147890719616847,1696807256.3782651,1696807258.0906508,True
0,6.327284542741867,-1.7037078873754201,1696807257.1769464,1696807258.852967,True
0,6.185699336596435,1.6575788207682722,1696807258.0290377,1696807259.5896401,True
0,6.11372785013373,1.6159884317881468,1696807258.7075734,1696807260.4149263,True
0,6.003959517891112,-1.5482466641683112,1696807259.4378965,1696807261.212953,True
0,5.805501128348185,-1.5992139868607262,1696807260.3319485,1696807262.023514,True
0,5.635539088120742,-1.5818110968675765,1696807261.1332617,1696807262.8110466,True
0,5.473854571867217,1.548443895141842,1696807261.9553096,1696807263.6216996,True
0,5.33294477006681,-1.5714856648584987,1696807262.7605782,1696807264.394232,True
0,5.172054463527311,-1.5132497313837368,1696807263.6210725,1696807265.1966357,True
0,4.784768342581826,-1.5603473124448184,1696807265.182901,1696807266.8010466,True
0,4.674445504867078,-1.5606082787783113,1696807265.9131174,1696807267.651556,True
0,4.520684297731408,1.6140269932632838,1696807266.7230334,1696807268.452645,True
0,4.43016235516561,-1.5978713080095208,1696807267.5295103,1696807269.2751951,True
0,4.2768748458398544,-1.6079555363351177,1696807268.338639,1696807270.1462557,True
0,4.038829291710353,-1.6278877582657032,1696807269.1518943,1696807270.9692457,True
0,3.8379274523520754,-1.639663222467044,1696807270.1337993,1696807271.7819097,True
0,3.670337655296209,-1.6278465115540104,1696807270.9315813,1696807272.611872,True
0,3.5365369766721417,1.6158209156178993,1696807271.6637318,1696807273.4396427,True
0,3.3484882052251366,-1.6130791982141097,1696807272.4657533,1696807274.3189611,True
0,3.1633096006646033,-1.6101151076513005,1696807273.2990265,1696807275.1602342,True
0,2.963705450089395,-1.5980352568110114,1696807274.1888514,1696807276.066918,True
