ID,Forward,Side,Capture Time,Result Time,Active
0,6.6672633360487294,-2.754188048699809,1696806893.5347981,1696806894.5888486,True
0,6.681720696604148,-2.76884711367669,1696806893.7030163,1696806895.459731,True
0,6.744262128733345,-2.7355543730619245,1696806894.5075207,1696806896.338606,True
0,6.6951012682931585,-2.758003186374225,1696806895.305214,1696806897.2000122,True
0,6.711948707492909,-2.755548943874407,1696806896.2062604,1696806898.032437,True
0,6.900293531462683,-2.3366283669792027,1696806897.164827,1696806898.937738,True
0,6.742672035877099,-2.2581914103354874,1696806898.0015488,1696806899.8895373,True
0,6.7872014602902215,-1.7326637315545326,1696806898.8081088,1696806900.7076402,True
0,6.793545679259607,-1.2658391785103973,1696806899.8101475,1696806901.600461,True
0,6.889426891220285,-0.5286565413372123,1696806900.6154642,1696806902.461366,True
0,6.552551516223039,-1.0448287776870522,1696806901.5507858,1696806903.2953792,True
0,6.816036568714468,0.0057506052323177325,1696806902.3937504,1696806904.0956726,True
0,6.390702722337147,1.1113844357396456,1696806903.1952348,1696806904.8890061,True
0,6.215558328798967,1.4205932016555123,1696806904.0105739,1696806905.7335193,True
0,5.9993141859152,-1.903054717711312,1696806904.8183784,1696806906.5127244,True
0,5.776082717183739,-2.36753905362778,1696806905.622056,1696806907.4026742,True
